track,tags,length
62846,"0,1,2,7,17,48",96
37950,"0,33,56",11
47494,"1,5,23,180",55
73048,"0,2,51,194",45
66759,"2,26,41",48
61444,"2,61",47
578,"6,122,162",46
65407,"0,46,130",44
29075,"0,46",37
3580,"6,81,177",42
19576,"0,10,35,73,191",35
47967,"6,103,117",41
8715,"6,158",71
68206,"3,238",36
41690,"5,89,127",21
55198,"0,1,6,12,84,116",19
67003,"0,1,4,11,12,29,148",34
45030,"6,175",73
69855,"0,4,14,16,130,226",76
19357,"1,167,243",89
37175,"6,39,63,158",42
29790,"0,30",60
34650,"1,6,12,123,243",99
37494,"6,81,103",80
38548,"6,35,73,81,233",50
7315,"6,9,81,103",86
52218,"6,116,175",71
22750,"0,1,8,9,45,51",38
55443,"1,6,39,43,72",58
5974,"6,39,93",52
22159,"28,186,221",42
60889,"3,23,160,234",56
38345,"9,85",48
39901,"1,44,167",68
69591,"2,26,61",30
34878,"6,93",84
68330,"9,85,141",42
26392,"0,1,2,15,45,51",61
1348,"23,160",55
35009,"0,4,5,226",67
73742,"2,61",42
15752,"0,46,114",38
60231,"0,2,194",41
49397,"1,35,219",68
34385,"2,6,9,45,47",56
37360,"1,35,64",56
20104,"0,2,7,8,115",45
28282,"1,2,6,11,13,15,101,131",69
60259,"9,32,47",53
65033,"0,8,30,73,84",55
7540,"0,1,31,149,159",29
20783,"0,1,13,17,29,66",29
67823,"0,6,9,32,69,116",51
63772,"35,112",46
21708,"0,226",42
55145,"6,122",53
13046,"3,236",37
10507,"6,24,122,162",62
17208,"1,15,50",123
62928,"0,18,20,42",16
25753,"0,33,126,181",19
74005,"2,6,9,23,28,36,187",52
2553,"0,6,22,232",54
4249,"0,33",66
28743,"2,23,173",82
4407,"2,6,122",39
61193,"0,1,31,149,159,255",48
12955,"28,221",95
10753,"3,23,173,246",67
23739,"23,173,234",40
3303,"23,173,234",34
13594,"0,10,18,35,73",61
16214,"0,5,10,35,73,244",61
32935,"0,14,18,49",57
26135,"0,10,91",58
18854,"0,46,59",36
38629,"0,1,12,65,95",71
60741,"35,143",50
35772,"6,215",92
61495,"43,121",41
76135,"0,4,226",67
3411,"1,6,123,167",42
60153,"5,102",65
52533,"9,23,32,47,198",51
35356,"0,20",29
2468,"0,7,253",49
47299,"2,5,9,55,157,254",54
21151,"0,8,9,16,32,85,125",56
71686,"23,173,228",57
42373,"2,5,9,43,55,121,155,194",64
34614,"2,23,160,234",45
41447,"1,35,64,112",57
68710,"6,9,23,117,151,246",103
31253,"6,23,151,173,228",51
73461,"2,5,23,24,26,160",49
4786,"1,6,15,17,167",80
69392,"0,2,3,6,8,9,19,22,32,40,47,59,103,116,117,187",63
923,"43,252",29
43770,"0,3,28,34,40,186",45
45378,"0,3,7,19,22",43
68210,"35,112,143",56
23394,"0,4,77",78
53939,"0,22,95,176",39
52871,"0,31,85,213",49
52921,"1,2,13",58
13823,"28,186,247",52
37313,"0,111,132",16
66734,"0,10,46",42
69218,"0,7,59,90",47
17217,"5,58,254",50
37532,"35,146",55
24019,"2,3,6,28,182,186",59
7733,"5,104,227",48
73556,"2,9,24,26,55",63
25897,"0,84,135",51
62012,3,54
71232,"0,2,23,73,160,234",53
52812,"35,64,146",39
17967,"6,241",74
24471,"9,45,47,231",88
70199,"3,34",34
17973,"1,2,9,23,26,41,55,86,239",50
67796,"0,176",34
11270,"0,52,132",99
22902,"0,7,22,31,77,84,129",40
46645,"0,8,31,57",28
24894,"2,23,26,207",37
54634,"0,2,4,9,38,47",33
46065,"0,79",77
75984,"0,14,16",50
46441,"0,30,31,149",12
48122,"0,2,8,26,51",65
73184,"3,238",67
21300,"43,195,252",51
31791,"0,1,4,7,74",131
55759,"5,9,47,104",66
31667,"0,6,81",37
1148,"6,145,187",148
37763,"1,11,15,37,99,131",62
34202,"0,2,8,23,26,51,125,173",63
16742,"3,34,43,121",47
74158,"0,35,73,112,233",64
4580,"35,146",42
28449,"2,5,24,26,75,104",55
41217,"2,6,61",50
23327,"0,2,40,46",39
28259,"3,9,47,124,198",70
74700,"23,169",44
27252,"0,8,31,69",52
33321,"1,21,71,210",83
28729,"0,67",65
72596,"6,81,116,187,201,241",84
20824,"0,4,140",58
76100,"5,133",48
43388,"0,33,120",72
3903,"3,106",61
40575,"0,67",60
54641,"23,134",50
31609,"0,4,16",40
55733,"6,145,158",62
75845,"35,146",62
252,"1,2,13,17,25,239",92
57501,"0,16,140",77
50532,"2,26",48
56326,"0,3,14,126",57
72063,"1,9,15,32,62",11
41598,"0,14,79",88
2145,"9,32,55",73
37387,"0,4,38,90",57
9712,"6,151",79
53128,"3,236,248",52
34802,"3,236",47
45814,"3,236",32
43809,"3,236",39
58955,"0,4,10",67
33137,"6,24,26,117,145,158,177,241",68
7621,"1,218,223",21
65459,"1,18,218,223",71
31472,"1,18,218,223",66
23678,"2,26,176",56
24388,"1,5,9,167,243",100
16372,"1,2,15,41,119,196",53
34600,"0,2,8,31,213",34
31597,"6,39,201",144
7087,"6,39,175",151
41595,"6,145,215",83
8731,"6,39,170,175",28
53428,"1,92,218",65
66963,"1,119",57
9529,"0,1,2,13,17,29,66",61
18992,"43,225",65
46097,"6,122,155,158",120
67717,"0,6,9,28,40,81",93
17240,"1,17,21",102
62396,"0,22,135",40
45795,"0,1,4,12,67",68
16861,"1,53,144,237",85
75816,"0,115,142",45
69930,"1,11,21,92,144",86
39999,"1,15,50,165",138
13969,"0,14",75
31682,"6,9,23,117,158,241",97
25826,"6,23,93,151,169",63
30768,"0,1,5,6,37,94,96",49
66634,"0,107",124
11680,"6,122",38
8837,"0,4,23,134",61
29194,"1,171",77
57654,"23,173",50
30681,"23,35,112,143,146,191,244",55
69422,"0,22,43,225",61
73823,"0,20,33",36
48573,"1,21",90
10656,"1,12,17,21,108",49
39634,"1,25",57
22604,"1,21,144,237",78
2053,"2,9,24,26,32",60
2278,"1,113",114
22016,"1,25,45,161",62
55807,"0,33,65,181,189",89
12990,"1,218",124
36307,"1,12,18,29,54,192,220",90
10368,"0,14,88,130",44
8969,"0,7,57",26
69188,"2,26,41",49
28756,"0,7,31,211",72
69817,"0,2,8,12,31,84,142",13
53171,"5,102,127",39
70391,"2,3,19,26,240",36
12837,"28,221",52
30319,"28,168",73
51825,"3,6,23,162,214,234",40
63482,"6,145,158,241",32
12753,"6,145,158,241",26
15134,"2,24,26,43,252",56
1514,"0,28,40,168",40
23029,"3,34",44
56429,"1,18,224",44
67475,"3,238",36
69304,"5,6,63,230",56
40135,"1,2,5,15,26,41,104,119,196",53
6468,"1,9,17,29,47,64",54
28137,"1,17,66",58
38561,"2,41",41
36803,"0,16,125",59
40594,"1,43,72,137",49
16902,"2,24,41",60
53169,"0,10,166",58
42963,"1,219",80
58168,"6,158",40
50011,"1,35,64,143,244",48
72935,"2,23,26,36",41
14491,"0,3,6,9,15,52,81,95,116,121,131,202",34
9896,"0,105",53
40048,"32,35,73,233",13
28266,"35,143,244",52
58474,"0,4,10,97,255",39
16378,"6,23,151,177,204",96
23549,"0,40,59,130,231",31
53334,"0,100",55
75415,"0,2,27,70,154",54
5900,"0,29,33,105",45
64369,"6,81",65
70759,"5,197,254",32
29448,"1,15,64,180",37
53277,"1,13,15,27,50,74,203",82
76112,"1,5,9,12,47,202",66
3847,"1,78,92,199",112
16831,"6,9,28,39,93,117",72
34102,"2,24,43,121,137,183",46
44453,"5,9,68,141",54
6087,"0,8,49,91",36
7975,"1,3,11,131",169
58966,"0,20,188",40
72440,"6,11,98",32
74466,"2,41",48
38895,"0,14,18,30,38",46
61812,"0,59,130",60
25437,"1,5,9,12,68,141",41
31551,"6,101",40
73342,"2,3,19",41
12994,"0,30,56,105,129",43
65511,"0,20,235",16
51125,"0,94,226",50
52826,"1,2,26,41,119",43
37401,"2,3,19,26,225",46
28707,"1,71,83,113",126
37277,"35,143",61
30247,"1,11,15,50,138",50
21984,"1,62,174",81
8051,"43,195",21
20934,"1,37",95
14387,"1,17,29",70
28421,"1,44",80
30778,"0,3,19,28,34,38",60
21661,"1,5,254",35
17655,"5,89,197",66
50133,"9,32,45",50
53637,"1,3,6,9,44,123,198",55
58603,"0,14,79",55
41403,"9,141",59
76585,"1,9,15,23,141,204",73
18429,"1,6,12,138,201",50
54122,"3,15,131",80
69829,"6,145,215",98
14867,"43,183",48
17760,"6,122,158",56
50893,"1,43,72,101,194",55
35042,"0,1,11,22,98",49
43238,"3,238",46
57246,"0,7,211",46
17726,"5,102,197",61
25864,"5,17,68,89,254",34
66346,"1,92,144",154
63418,"0,2,8,128",45
62765,"2,26,41,55",41
15159,"0,7,8,211",51
50076,"0,6,12,81,116",145
49989,"0,1,7,48,87",43
65182,"1,25,44",94
147,"1,3,12,19,43,106,135,137,200,225",72
58020,"1,3,78,92,131,199",94
12044,"3,23,173,207,228",48
34619,"3,23,173,207,228",46
37364,"0,9,30,31,43,47,121,252",28
33342,"0,4,94,189",47
33037,"1,15,27,70",43
45502,"1,18",55
63118,"1,37,62",70
29032,"1,25,44,83,123",102
61022,"1,6,17,25,167,232",18
73598,"1,9,45,203",68
6061,"1,18",57
24756,"5,89,127,197,254",40
24847,"0,33,152",51
20417,"0,10,156",42
21972,"23,134,169",44
63045,"2,41,51,61",51
15156,"1,15,23,123,180,204",61
35136,"1,11,98,129",24
67941,"1,18,50,224",69
28819,"3,106",52
64176,"0,1,48,60",51
57800,"1,210",94
55106,"1,5,9,96",56
70706,"0,1,3,9,15,19,32,38,70,90,96,123,141,178",66
48379,"0,16,40",51
7559,"6,145",36
18735,"3,9,47,198",84
39072,"1,29,66",50
20998,"1,11,15,44,123,180,209",58
55479,"1,12,76",45
69948,"6,23,134,151,169,177",49
9509,"35,64",42
37333,"1,11,72",70
36426,"1,11,17,53,70,71,96,109,138",100
60970,"1,18,224",73
17919,"1,92,113",115
16280,"0,2,8,28,31,46,51,59,125,163",38
39260,"3,6,23,101,151,162,246",46
22214,"1,5,15,70",18
35167,"0,10,18",14
75763,"2,19,38,155,194",53
2262,"0,6,9,28,46,85,122,231",33
15909,"0,1,13,17,48",52
25962,"5,9,104",52
42066,"1,21,44,237",82
10896,"1,83",54
61013,"0,10,91,156",40
60409,"1,78,113",102
63678,"0,33,107,120",65
49662,"3,26,238",42
33316,"1,13,17,21,66,108",77
63461,"0,33,181",18
55407,"0,17,29,33",53
12542,"1,11,64",82
46581,"35,146",69
55772,"1,11,12,29,248",67
64679,"2,43,101,121",43
27782,"1,62",74
76492,"0,1,11,15,22",83
31716,"0,31,57,88",78
74548,"23,173",67
56589,"0,30,84",115
34939,"0,3,34,46,59",49
25502,"0,1,2,8,13,86,250",37
20082,"0,1,2,8,13,86,250",44
27128,"0,18,52,149,189",83
3801,"1,13,86",43
57813,"23,173",72
57612,"23,169",61
73317,"23,169",50
34544,"23,169",51
47806,"23,85,208",65
40429,"0,56,153,189",114
11923,"0,156",42
6752,"6,23,26,228",82
9976,"0,88",48
65458,"0,1,29,131",69
74561,"6,28,101,122,186,201",53
6498,"0,28,40,247",55
35789,"9,23,47,134,169,204",55
33377,"5,75,104",51
41550,"1,15,131",27
28268,"3,23,124",53
2717,"0,1,2,7,13,17",61
53584,"1,17,37,131",82
56563,"0,30,65",67
11505,"0,20,188",66
3087,"0,8,31,90",45
55274,"1,12,17,35,64,83,206",51
4732,"0,18,49,52,80,100",65
11069,"0,1,12,159",114
11521,"6,23,177,204",40
64970,"0,20,42",43
5839,"0,1,9,15,17,47,63,70,99,103,202",52
60660,"1,2,27,82,150",43
28112,"0,1,2,12,31,131,219",19
32532,"1,11,43,72",71
65961,"2,6,9,28,38,117,141",50
42563,"0,4,11,31,32,76,129,155,202",71
2312,"0,1,7,84",53
22207,"1,50,54,74",124
73547,"0,4,7,13,15,17,84,175",73
55799,"0,20,105,181",32
5689,"0,2,4,27",42
9374,"0,30,131,159,200",32
21593,"0,1,11,72,148",52
70334,"0,46,59,142",40
42030,"5,23,35,208",50
59921,"1,11,54,62,172",51
46120,"0,1,13,64,74,84,129,154",37
9124,"0,18,95,132",27
76070,"23,228,246",66
75559,"0,6,73,114,122",41
9015,"0,253",48
28011,"6,28,35,85,151",116
16976,"0,14,111",89
37473,"0,28,40,182",95
56754,"2,6,24,162",41
45602,"0,31,88,149,255",78
17078,"1,180",23
16313,"35,233",41
66011,"2,24,240",35
18353,"1,15,50,98,220",65
32654,"1,15,50,98,220",101
38501,"0,33,107,120",52
55935,"35,64,112",48
23850,"6,23,151,173",105
26560,"3,124",52
72523,"0,3,19,22,28,34,46,88,186",44
32146,"23,134,169,214",65
25342,"6,39,93,177",70
5766,"0,1,98,135",71
22196,"0,28,247",66
11796,"0,10,91,156",42
49987,"0,1,4,17,29,94,96,192",41
860,"1,2,25",48
66977,"1,13,66,92",58
14972,"2,5,23,75,208",52
49299,"1,15,62",53
71079,"2,43,195",64
14134,"3,72,106",113
5145,"28,221",89
66419,"28,221",68
74277,"6,9,32,39",72
71607,"1,108",79
73719,"3,236",26
32163,"1,62,192",53
45664,"0,10,57",26
40929,"5,89,127",41
44477,"1,11,15,50,70,178",34
42643,"6,28,151",68
28264,"1,11,123",34
24224,"6,122,232",62
27049,"6,39,81,103",65
12558,"1,11,12,54,98,138",99
66744,"0,77,149",43
66418,"1,11,12,54",52
62696,"2,3,23,26,204,238",67
76202,"2,3,23,26,204,238",56
30456,"28,182",96
29735,"1,3,11,72,129",219
48193,"1,3,11,72,135",92
72337,"1,6,23,123,151,243",92
28300,"43,195",66
15657,"6,23,160",74
71665,"28,221",60
71092,"0,1,12,67,209",31
40986,"3,23,124,246",52
22845,"6,170,201",74
68636,"1,2,9,23,41,47",43
51308,"1,17,50",117
42729,"5,68,89,102,133",61
36618,"1,11,43,121",67
73927,"0,94",54
48972,"0,3,4,22,59",37
72852,"0,1,3,5,22,38,74",42
47549,"19,28,155,186",57
56193,"0,57",32
34996,"35,112,244",68
66355,"3,200",52
23567,"9,32,47,202",35
43967,"1,15,96,165",79
21051,"1,25,53,76",49
17131,"1,5,17,23,35,64,207,239",58
72987,"6,122",39
27065,"0,1,12,13,15,31,74,77,90,149,159,209",43
38323,"0,33,42",64
68685,"0,79",35
41239,"23,160",83
42102,"1,12,29,37,97,220",63
35507,"1,15,74,99,167,174,209",43
11170,"28,182",55
33640,"0,33",74
68338,"1,11,12,29",92
11587,"0,1,84,148",81
63887,"5,102,118,127",49
46336,"5,102,118,127",54
34174,"1,6,23,25,180,232",78
44459,"1,11,64,70,76,165",64
17367,"5,17,75,89",16
9421,"2,23,24,26,228",70
54050,"1,5,17,89,254",57
68981,"2,3,24,176",53
62449,"5,89",51
24787,"1,37,62",65
34944,"1,12,172",68
63373,"0,22",71
58781,"0,30",44
68527,"1,66,87",63
32137,"0,42,152",56
43306,"3,9,19",63
69323,"2,3,160,234",39
21338,"5,35,143",60
9052,"0,5,18,102",47
43946,"0,1,7,11,43,121,137",25
44412,"0,2,22,59",56
54218,"1,2,86,196",47
70574,"0,59",74
39714,"23,228",31
24178,"6,24,122,187",47
66896,"1,5,96,157,219,227",71
57852,"0,4,77,129",46
8116,"0,2,129",62
37874,"5,89,197,254",63
49433,"3,28,168",77
27399,"0,2,7,27,48,60",54
19157,"0,65,120",69
21031,"1,109",88
7542,"0,3,22,28,40,59",28
33945,"0,31,84,253",54
51886,"6,8,103,116,145",84
119,"1,21,144",84
46382,"0,7,8,48",53
29217,"3,124",55
52274,"1,92,113",106
7927,"1,70",22
7170,"0,7,77,129,154",60
37849,"1,2,17,24,71,131",106
28999,"0,4,88",40
34300,"0,16,140",44
64515,"43,137,183,195",57
22295,"1,11,50,74",38
17846,"6,175",125
67313,"0,56,88",132
10234,"0,18,20,73",54
54615,"3,35,44,92,146",64
36457,"0,3,10,16,106",45
7458,"3,6,198",124
56811,"0,22,38,90",51
43174,"1,15,64",63
42307,"0,51,130",61
804,"6,9,93,101",68
57993,"1,15,131",54
43471,"1,29,50,62,220",96
62758,"0,49,139",41
72484,"0,10,136",57
61210,"0,3,19,22,38",49
11537,"5,197",59
44611,"3,101,252",67
1856,"6,9,55,117",67
24356,"28,85,182",64
74385,"1,29,87",63
17420,"0,149",20
60316,"0,10,91",50
4723,"1,70",37
1639,"1,70",78
71401,"1,11,72",71
34779,"0,6,12,95,175",177
18695,"0,4,7",56
31307,"1,11,76,138",66
22738,"35,73,233",45
43755,"1,11",170
61326,"1,2,5,13,75",43
64930,"3,34",41
11686,"1,37,50,78,144",59
45842,"0,114",40
6032,"3,236",118
66186,"0,8,28,51",66
34171,"1,113,199",85
31771,"0,33,67",62
19554,"0,67,129",71
28935,"3,35,64,112,146",54
42801,"0,10,136",48
28650,"1,72,229",83
47161,"0,2,8,26",44
34156,"1,6,23,173,246",60
588,"1,2,15,21,70",47
9504,"1,5,9,32,54,68,118",40
25273,"0,12,52",56
27292,"0,5,6,12,52,116,226",46
17528,"3,5,6,43,63,170,183",30
74299,"1,11,72",92
40097,"0,46,114",35
70975,"5,68",36
21959,"0,12,67,95",45
27704,"0,33,126,181",71
20326,"11,43,72,121,195,240",55
19046,"1,21",83
49245,"1,2,54",89
40091,"2,41",50
9167,"5,9,32,104",67
45119,"1,15,99,219",49
12221,"1,70",79
53477,"0,18,49",48
15987,"3,160,234",57
37541,"6,145",75
37636,"1,5,12,102,230",31
23351,"5,102,197",57
3408,"6,145",167
75582,"5,58,89,127,254",32
53063,"6,241",73
38276,"0,4,31,57",48
64677,"1,43,72,137",48
14935,"1,43,72,137",28
20353,"0,1,13,50,87",165
76567,"9,47,85",57
29358,"0,35,38,112",57
75150,"0,38,135",37
59784,"0,10,73,112,248",50
20690,"1,11,229",84
35322,"3,19,106",21
11940,"3,160,234",49
75486,"0,16,125",56
46446,"0,52",99
54571,"1,5,12,102",33
25297,"1,9,15,123,141,178",37
39584,"0,5,14,68,75,89,197,254",39
72534,"0,5,14,68,75,89,197,254",44
3027,"3,9",65
74236,"1,210",93
50748,"0,4,7,97",39
44443,"1,12,15,54,62",57
32865,"0,3,28,38,247",48
3249,"0,1,29,67,87,129",74
52166,"1,203,250",43
13656,"1,2,13,15,83,219",34
48140,"0,128",42
49021,"6,23,93,134,169,177,228",39
75630,"3,6,122,162,236",22
6026,"0,67,114,142",55
65515,"1,15,50,62,172",53
43880,"3,35,124,146",52
71688,"3,6,232,236",42
47450,"3,6,232,236",44
27500,"0,88,153",50
34902,"1,78,113",94
33277,"0,18,222",36
69602,"0,18,222",32
26197,"1,17,29,66",65
37188,"3,19,236",14
74575,"3,6,23,43,122,145,195,214,236,252",138
14963,"0,7,48",64
47304,"9,32,45",67
13007,"3,34",59
14937,"0,28,40,69,168,247",47
3272,"0,48,115,253",40
60047,"0,107,156",65
44683,"0,2,4,8,24,27",77
934,"6,23,162",118
25823,"1,171",60
53465,"1,6,103,243",102
40208,"0,18,49,153",45
33197,"1,17",43
49480,"0,1,7,31,35,64,77,88,149",160
54073,"1,78",100
48581,"0,166",28
1902,"1,5,35,68,143,227,244",43
10619,"0,16,125",77
53070,"2,5,179",50
59725,"1,11,12",331
68379,"0,1,31,202",39
60419,"5,104",47
27731,"0,1,14,17,72,95",124
43740,"0,142",50
2814,"0,6,9,40,81",72
1860,"5,23,35,208",44
2465,"1,12,21,50,74,76,78,202",47
62246,"0,33",27
33475,"2,23,24,26,160",71
39585,"0,8,28,40,51",47
48578,"0,7,211",52
59919,"1,11,13,15",65
37290,"0,10,16,67",55
20161,"2,26,194,240",47
56898,"9,32,85,141",65
35863,"0,3,4,34,59",44
13221,"6,9,39,85,93,116",69
56907,"0,3,28,59,135,182,209",57
25895,"1,15,180",66
57480,"6,39,93,103,116,145",71
2018,"0,65,107",40
33641,"0,33",108
61782,"1,21,44,53,237",91
64876,"0,20,222",73
28526,"3,238",41
62353,"0,6,23,160",45
51598,"2,3,34,147",52
23542,"0,2,8",42
17571,"1,5,164",45
2987,"1,5,164",48
68872,"6,23,101,151,234",30
31888,"2,3,19,41",55
33651,"0,40,46,69,125,128",47
17346,"0,235",43
16134,"2,61",86
12362,"0,3,22,24,194",42
17492,"0,94",53
75858,"1,37",86
56609,"2,6,43,137,252",56
63174,"0,176",27
5293,"2,35,112,191",22
63833,"0,2,8,194,240",40
71927,"1,71,92",75
8584,"1,13,87",50
17727,"1,35,37,174,244",82
11739,"1,78,113",89
16149,"0,2,27,128,211",49
57583,"6,9,23,32,151,169",45
52074,"6,9,23,32,151,169",69
3342,"2,3,23,24,246",55
15681,"23,228,234,246",53
60414,"1,5,12,54,63",32
17873,"6,39,43",64
12750,"0,2,3,24,26,34,59",50
62023,"35,143,244",40
25197,"0,4,48,60,67,77,84,129",21
69613,"3,34,130",43
48757,"6,39",59
45628,"2,61,248",22
14011,"0,14,42",52
40016,"5,68,127",45
63244,"28,168,182,221",73
40257,"6,122,187",40
5934,"0,28,40",66
29622,"0,57,88,90,142",38
26733,"0,3,4,31,255",54
72910,"0,5,6,7,9,28,40,46,116",83
26587,"0,80,129,149",61
22157,"0,12,14,132",60
25478,"0,30,31,77,140",58
16237,"2,23,26",59
71127,"1,5,17,96,254",41
21022,"1,18,35,99,143",56
38760,"0,4,49,94,105",61
68307,"0,1,4,69",63
71407,"43,121,183",51
68024,"23,207",52
67167,"0,12,94,132",61
76134,"0,1,98,135",66
67324,"0,2,26,46",32
71998,"2,6,26,61,93,187",74
13033,"0,38,46,130",43
74783,"2,3,17,38,135",54
31990,"1,2,3,12,19,29,34,41,43,87,98,135,137,183,248",55
50866,"1,12,29,108,135,137",89
38081,"6,9,23,101,169,177",42
27753,"2,6,23,24,117,204",49
13219,"1,6,23,44,81,123,151,177,178,204",77
5707,"5,68,102",49
56420,"6,9,117",57
7707,"3,6,19,147",48
8509,"2,27",42
61953,"0,3,34,130",38
76335,"1,2,86",49
60319,"23,173",63
46886,"2,184",45
11412,"1,53,165",110
57634,"0,28,40,168,182",58
65797,"3,6,19,43,116,183,200",45
40718,"1,15,62,131,138,178",88
55476,"1,44,53,76",84
6262,"0,14,176",49
34660,"1,6,103,117,123,178",65
55444,"1,53",83
63766,"0,14,30,42",76
51533,"2,6,24,101",35
676,"0,1,7,12,19,74",55
60420,"28,182",70
65979,"0,4,100",52
17837,"1,109",54
43855,"1,6,15,101,103,116",29
16759,"9,32,231",23
28168,"0,3,7,28",57
53854,"0,56",71
